184 341 1 (1, 0) (0, 0) 0 0
184 398 1 (1, 0) (0, 0) 0 0
184 464 1 (1, 0) (0, 0) 0 0
184 541 1 (1, 0) (0, 0) 0 0
184 630 1 (1, 0) (0, 0) 0 0
184 735 1 (1, 0) (0, 0) 0 0
184 857 1 (1, 0) (0, 0) 0 0
184 1000 -1 (0, 0) (0, 0) 0 0
184 1165 -1 (0, 0) (0, 0) 0 0
184 1359 -1 (0, 0) (0, 0) 0 0
184 1584 -1 (0, 0) (0, 0) 0 0
184 1847 -1 (0, 0) (0, 0) 0 0
184 2154 -1 (0, 0) (0, 0) 0 0
184 2511 -1 (0, 0) (0, 0) 0 0
184 2928 -1 (0, 0) (0, 0) 0 0
184 3414 -1 (0, 0) (0, 0) 0 0
184 3981 -1 (0, 0) (0, 0) 0 0
184 4641 -1 (0, 0) (0, 0) 0 0
184 5411 -1 (0, 0) (0, 0) 0 0
184 6309 -1 (0, 0) (0, 0) 0 0
184 7356 -1 (0, 0) (0, 0) 0 0
184 8576 -1 (0, 0) (0, 0) 0 0
184 10000 -1 (0, 0) (0, 0) 0 0
215 100 -1 (0, -1) (0, -1) 0 0
215 116 -1 (0, -1) (0, -1) 0 0
215 135 -1 (0, -1) (0, -1) 0 0
215 158 -1 (0, -1) (0, -1) 0 0
215 184 -1 (0, -1) (0, -1) 0 0
215 215 -1 (0, -1) (0, -1) 0 0
215 251 -1 (0, 0) (0, 0) 0 0
215 292 1 (1, 0) (0, 0) 0 0
215 341 1 (1, 0) (0, 0) 0 0
215 398 1 (1, 0) (0, 0) 0 0
215 464 1 (1, 0) (0, 0) 0 0
215 541 1 (1, 0) (0, 0) 0 0
215 630 1 (1, 0) (0, 0) 0 0
215 735 1 (1, 0) (0, 0) 0 0
215 857 1 (1, 0) (0, 0) 0 0
215 1000 -1 (0, 0) (0, 0) 0 0
215 1165 -1 (0, 0) (0, 0) 0 0
215 1359 -1 (0, 0) (0, 0) 0 0
215 1584 -1 (0, 0) (0, 0) 0 0
215 1847 -1 (0, 0) (0, 0) 0 0
215 2154 -1 (0, 0) (0, 0) 0 0
215 2511 -1 (0, 0) (0, 0) 0 0
215 2928 -1 (0, 0) (0, 0) 0 0
215 3414 -1 (0, 0) (0, 0) 0 0
215 3981 -1 (0, 0) (0, 0) 0 0
215 4641 -1 (0, 0) (0, 0) 0 0
215 5411 -1 (0, 0) (0, 0) 0 0
215 6309 -1 (0, 0) (0, 0) 0 0
215 7356 -1 (0, 0) (0, 0) 0 0
215 8576 -1 (0, 0) (0, 0) 0 0
215 10000 -1 (0, 0) (0, 0) 0 0
251 100 -1 (0, -1) (0, -1) 0 0
251 116 -1 (0, -1) (0, -1) 0 0
251 135 -1 (0, -1) (0, -1) 0 0
251 158 -1 (0, -1) (0, -1) 0 0
251 184 -1 (0, -1) (0, -1) 0 0
251 215 -1 (0, -1) (0, -1) 0 0
251 251 -1 (0, -1) (0, -1) 0 0
251 292 -1 (0, 0) (0, 0) 0 0
251 341 1 (1, 0) (0, 0) 0 0
251 398 1 (1, 0) (0, 0) 0 0
251 464 1 (1, 0) (0, 0) 0 0
251 541 1 (1, 0) (0, 0) 0 0
251 630 1 (1, 0) (0, 0) 0 0
251 735 1 (1, 0) (0, 0) 0 0
251 857 1 (1, 0) (0, 0) 0 0
251 1000 1 (1, 0) (0, 0) 0 0
251 1165 -1 (0, 0) (0, 0) 0 0
251 1359 -1 (0, 0) (0, 0) 0 0
251 1584 -1 (0, 0) (0, 0) 0 0
251 1847 -1 (0, 0) (0, 0) 0 0
251 2154 -1 (0, 0) (0, 0) 0 0
251 2511 -1 (0, 0) (0, 0) 0 0
