100 100 0
100 110 0
100 122 0
100 134 0
100 149 0
100 164 0
100 182 0
100 201 0
100 222 0
100 245 0
100 271 0
100 299 0
100 331 0
100 366 0
100 404 0
100 447 0
100 494 0
100 546 0
100 603 0
100 666 0
100 736 0
100 814 0
100 899 0
100 994 0
100 1098 0
100 1213 0
100 1341 0
100 1482 0
100 1637 0
100 1809 0
100 1999 0
116 100 0
116 110 0
116 122 0
116 134 0
116 149 0
116 164 0
116 182 0
116 201 0
116 222 0
116 245 0
116 271 0
116 299 0
116 331 0
116 366 0
116 404 0
116 447 0
116 494 0
116 546 0
116 603 0
116 666 0
116 736 0
116 814 0
116 899 0
116 994 0
116 1098 0
116 1213 0
116 1341 0
116 1482 0
116 1637 0
116 1809 0
116 1999 0
135 100 0
135 110 0
135 122 0
135 134 0
135 149 0
135 164 0
135 182 0
135 201 0
135 222 0
135 245 0
135 271 0
135 299 0
135 331 0
135 366 0
135 404 0
135 447 0
135 494 0
135 546 0
135 603 0
135 666 0
135 736 0
135 814 0
135 899 0
135 994 0
135 1098 0
135 1213 0
135 1341 0
135 1482 0
135 1637 0
135 1809 0
135 1999 0
158 100 0
158 110 0
158 122 0
158 134 0
158 149 0
158 164 0
158 182 0
158 201 0
158 222 0
158 245 0
158 271 0
158 299 0
158 331 0
158 366 0
158 404 0
158 447 0
158 494 0
158 546 0
158 603 0
158 666 0
158 736 0
158 814 0
158 899 0
158 994 0
158 1098 0
158 1213 0
158 1341 0
158 1482 0
158 1637 0
158 1809 0
158 1999 0
184 100 0
184 110 0
184 122 0
184 134 0
184 149 0
184 164 0
184 182 0
184 201 0
184 222 0
184 245 0
184 271 0
184 299 0
184 331 0
184 366 0
184 404 0
184 447 0
184 494 0
184 546 0
184 603 0
184 666 0
184 736 0
184 814 0
184 899 0
184 994 0
184 1098 0
184 1213 0
184 1341 0
184 1482 0
184 1637 0
184 1809 0
184 1999 0
215 100 0
215 110 0
215 122 0
215 134 0
215 149 0
215 164 0
215 182 0
215 201 0
215 222 0
215 245 0
215 271 0
215 299 0
215 331 0
215 366 0
215 404 0
215 447 0
215 494 0
215 546 0
215 603 0
215 666 0
215 736 0
215 814 0
215 899 0
215 994 0
215 1098 0
215 1213 0
215 1341 0
215 1482 0
215 1637 0
215 1809 0
215 1999 0
251 100 0
251 110 0
251 122 0
251 134 0
251 149 0
251 164 0
251 182 0
251 201 0
251 222 0
251 245 0
251 271 0
251 299 0
251 331 0
251 366 0
251 404 0
251 447 0
251 494 0
251 546 0
251 603 0
251 666 0
251 736 0
251 814 0
251 899 0
251 994 0
251 1098 0
251 1213 0
251 1341 0
251 1482 0
251 1637 0
251 1809 0
